muni,Muni Zoned %_single_family,TRACT CODE,Cleaned Tract Code,Block Group of parcel_data_aggregated_by_block_group,N,percent_sf_residences,Row %(Apartments with Four or more units),N(Apartments with Four or more units),Row %(Chapter 61 or 61A or 61B Property),N(Chapter 61 or 61A or 61B Property),Row %(Commercial),N(Commercial),Row %(Commercial Vacant),N(Commercial Vacant),Row %(Condominium),N(Condominium),Row %(Federal State or Municipal),N(Federal State or Municipal),Row %(Group Quarters),N(Group Quarters),Row %(Industrial),N(Industrial),Row %(Industrial Vacant),N(Industrial Vacant),Row %(Institutional or Exempt),N(Institutional or Exempt),Row %(Institutional or Exempt Vacant),N(Institutional or Exempt Vacant),Row %(Mixed Use),N(Mixed Use),Row %(Municipal Vacant),N(Municipal Vacant),Row %(Open Space),N(Open Space),Row %(Other Agricultural or Recreational),N(Other Agricultural or Recreational),Row %(Residential Other),N(Residential Other),Row %(Residential Vacant),N(Residential Vacant),Row %(Single Family Residence),N(Single Family Residence),Row %(Tax Exempt Other),N(Tax Exempt Other),Row %(Two or Three Family Residences),N(Two or Three Family Residences),Row %(Unknown),N(Unknown),EJ,Ej Crit De,recoded_ej_criteria,Ej Criteri,Geographic,Geographic 1,Block Group of EJ_POLY,Geoid,Census Tract,Limitedeng,Medianhhi,Minority P,Municipali,Split For,Bg Mhhi,Bg Mhhi Is,Bg Mhhi Pc,Ej Crite 1,Geometry,Limenghh,Limenghhpc,Muni Mhhi,Munimhhi P,Nonhispwhi,Pct Minori,Shape Area,Shape Len,Total Pop,Totalhh
Braintree,0,419200,419200,2,188,88.39779006,1.06%,2,0.00%,0,1.60%,3,0.00%,0,2.66%,5,0.00%,0,0.00%,0,0.00%,0,0.00%,0,2.13%,4,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.53%,1,0.00%,0,85.11%,160,0.00%,0,6.91%,13,0.00%,0,Yes,Minority,Minority,M,"Block Group 2, Census Tract 4192, Norfolk County, Massachusetts",Block Group 2,2,2.50E+11,419200,,,M,Braintree,N,68750,0,81.47182465,1,Polygon,5,1.78571427,101544,120.3341827,636,28.37837838,335414.7425,2959.682958,888,280
,,419200,419200,3,356,92.89772727,0.00%,0,0.00%,0,0.28%,1,0.00%,0,0.00%,0,0.28%,1,0.00%,0,0.28%,1,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.28%,1,0.00%,0,0.00%,0,0.00%,0,0.00%,0,91.85%,327,0.00%,0,7.02%,25,0.00%,0,No,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,
Braintree,0,419200,419200,4,196,82.35294118,2.04%,4,0.00%,0,1.53%,3,0.00%,0,1.02%,2,0.00%,0,0.00%,0,1.53%,3,0.00%,0,0.00%,0,0.00%,0,0.51%,1,0.51%,1,0.00%,0,0.00%,0,0.00%,0,0.51%,1,78.57%,154,0.00%,0,13.78%,27,0.00%,0,Yes,Minority,Minority,M,"Block Group 4, Census Tract 4192, Norfolk County, Massachusetts",Block Group 4,4,2.50E+11,419200,,,M,Braintree,N,134732,0,159.6634522,1,Polygon,0,0,101544,120.3341827,540,31.12244898,453996.3582,3458.271945,784,211
Braintree,0,419300,419300,1,211,92.78846154,1.90%,4,0.00%,0,0.00%,0,0.00%,0,2.84%,6,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.47%,1,0.47%,1,0.00%,0,0.00%,0,0.00%,0,0.47%,1,91.47%,193,0.00%,0,2.37%,5,0.00%,0,Yes,Minority,Minority,M,"Block Group 1, Census Tract 4193, Norfolk County, Massachusetts",Block Group 1,1,2.50E+11,419300,,,M,Braintree,N,93514,0,110.8182755,1,Polygon,100,20.08032036,101544,120.3341827,674,47.71140419,765817.603,4035.897505,1289,498
Braintree,0,419300,419300,2,242,87.39495798,0.00%,0,0.00%,0,0.41%,1,0.00%,0,0.41%,1,0.00%,0,0.00%,0,0.41%,1,0.00%,0,0.00%,0,0.00%,0,0.41%,1,0.00%,0,0.00%,0,0.00%,0,0.41%,1,0.41%,1,85.95%,208,0.00%,0,11.57%,28,0.00%,0,Yes,Minority,Minority,M,"Block Group 2, Census Tract 4193, Norfolk County, Massachusetts",Block Group 2,2,2.50E+11,419300,,,M,Braintree,N,69000,0,81.76808929,1,Polygon,38,11.9496851,101544,120.3341827,561,27.14285714,242876.6877,2694.88865,770,318
Braintree,0,419300,419300,3,56,50.98039216,7.14%,4,0.00%,0,0.00%,0,0.00%,0,3.57%,2,1.79%,1,0.00%,0,1.79%,1,0.00%,0,0.00%,0,0.00%,0,3.57%,2,0.00%,0,0.00%,0,0.00%,0,1.79%,1,1.79%,1,46.43%,26,0.00%,0,32.14%,18,0.00%,0,Yes,Minority and income,Minority and income,MI,"Block Group 3, Census Tract 4193, Norfolk County, Massachusetts",Block Group 3,3,2.50E+11,419300,,I,M,Braintree,N,27500,0,32.58872986,2,Polygon,24,9.0225563,101544,120.3341827,341,53.35157319,192252.5753,2667.568502,731,266
Braintree,0,419300,419300,4,379,91.12903226,0.26%,1,0.00%,0,0.26%,1,0.00%,0,0.53%,2,0.00%,0,0.00%,0,1.06%,4,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.53%,2,0.26%,1,89.45%,339,0.26%,1,7.39%,28,0.00%,0,Yes,Minority,Minority,M,"Block Group 4, Census Tract 4193, Norfolk County, Massachusetts",Block Group 4,4,2.50E+11,419300,,,M,Braintree,N,123884,0,146.808075,1,Polygon,13,3.13253021,101544,120.3341827,872,27.9338843,535259.5299,3124.977226,1210,415
Braintree,0,419400,419400,1,294,88.58267717,1.70%,5,0.00%,0,9.52%,28,0.00%,0,0.00%,0,0.34%,1,0.34%,1,1.02%,3,0.34%,1,0.34%,1,0.00%,0,0.68%,2,0.68%,2,0.00%,0,0.00%,0,0.00%,0,0.34%,1,76.53%,225,0.00%,0,8.16%,24,0.00%,0,Yes,Minority and English isolation,Minority and English isolation,ME,"Block Group 1, Census Tract 4194, Norfolk County, Massachusetts",Block Group 1,1,2.50E+11,419400,E,,M,Braintree,N,96858,0,114.7810593,2,Polygon,65,25.09652519,101544,120.3341827,539,32.54067584,1136552.469,4728.785446,799,259
Braintree,0,419400,419400,2,376,94.83695652,0.27%,1,0.00%,0,0.80%,3,0.00%,0,0.80%,3,0.00%,0,0.00%,0,0.27%,1,0.00%,0,0.53%,2,0.00%,0,0.00%,0,0.53%,2,0.00%,0,0.00%,0,0.27%,1,0.00%,0,92.82%,349,0.00%,0,3.72%,14,0.00%,0,Yes,Minority,Minority,M,"Block Group 2, Census Tract 4194, Norfolk County, Massachusetts",Block Group 2,2,2.50E+11,419400,,,M,Braintree,N,71000,0,84.13817596,1,Polygon,0,0,101544,120.3341827,780,26.69172932,622968.1546,3609.963786,1064,432
Braintree,0,419400,419400,3,363,91.36904762,1.10%,4,0.00%,0,4.13%,15,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.28%,1,0.28%,1,0.00%,0,0.00%,0,1.38%,5,1.10%,4,0.00%,0,0.00%,0,0.28%,1,0.28%,1,84.57%,307,0.00%,0,6.61%,24,0.00%,0,Yes,Minority,Minority,M,"Block Group 3, Census Tract 4194, Norfolk County, Massachusetts",Block Group 3,3,2.50E+11,419400,,,M,Braintree,N,76641,0,90.82301331,1,Polygon,44,7.67888308,101544,120.3341827,928,31.15727003,464505.7003,2876.251348,1348,573
Braintree,0,419500,419500,1,231,87.25490196,2.16%,5,0.00%,0,5.63%,13,0.43%,1,2.16%,5,2.60%,6,0.00%,0,0.00%,0,0.00%,0,1.30%,3,0.00%,0,0.00%,0,0.43%,1,0.00%,0,0.00%,0,0.43%,1,0.00%,0,77.06%,178,0.87%,2,6.49%,15,0.43%,1,Yes,Minority,Minority,M,"Block Group 1, Census Tract 4195, Norfolk County, Massachusetts",Block Group 1,1,2.50E+11,419500,,,M,Braintree,N,84375,0,99.98815155,1,Polygon,0,0,101544,120.3341827,695,41.10169492,389719.5783,2795.044585,1180,336
Braintree,0,419500,419500,2,763,98.00796813,0.00%,0,0.00%,0,0.26%,2,0.00%,0,0.13%,1,0.13%,1,0.00%,0,0.13%,1,0.00%,0,0.00%,0,0.00%,0,0.13%,1,0.39%,3,0.00%,0,0.00%,0,0.00%,0,0.26%,2,96.72%,738,0.00%,0,1.83%,14,0.00%,0,Yes,Minority,Minority,M,"Block Group 2, Census Tract 4195, Norfolk County, Massachusetts",Block Group 2,2,2.50E+11,419500,,,M,Braintree,N,135472,0,160.5403748,1,Polygon,24,3.26975489,101544,120.3341827,1653,28.16166884,2974079.277,8347.796875,2301,734
Braintree,0,419601,419601,1,40,88.57142857,2.50%,1,0.00%,0,5.00%,2,0.00%,0,7.50%,3,0.00%,0,0.00%,0,5.00%,2,0.00%,0,2.50%,1,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,77.50%,31,0.00%,0,0.00%,0,0.00%,0,Yes,Minority,Minority,M,"Block Group 1, Census Tract 4196.01, Norfolk County, Massachusetts",Block Group 1,1,2.50E+11,419601,,,M,Braintree,N,153906,0,182.3854981,1,Polygon,20,3.36134458,101544,120.3341827,967,39.5625,1484180.672,5098.199091,1600,595
Braintree,0,419602,419602,1,365,96.61971831,0.82%,3,0.00%,0,1.10%,4,0.00%,0,0.00%,0,0.82%,3,0.00%,0,0.00%,0,0.00%,0,0.55%,2,0.00%,0,0.00%,0,0.27%,1,0.00%,0,0.00%,0,0.27%,1,0.00%,0,93.97%,343,0.00%,0,2.19%,8,0.00%,0,Yes,Minority,Minority,M,"Block Group 1, Census Tract 4196.02, Norfolk County, Massachusetts",Block Group 1,1,2.50E+11,419602,,,M,Braintree,N,77328,0,91.63713837,1,Polygon,44,8.74751472,101544,120.3341827,930,24.57420925,1292363.721,6040.605663,1233,503
,,419602,419602,2,773,99.34210526,0.00%,0,0.00%,0,0.39%,3,0.13%,1,0.00%,0,0.00%,0,0.00%,0,0.13%,1,0.00%,0,0.00%,0,0.00%,0,0.26%,2,0.39%,3,0.00%,0,0.00%,0,0.26%,2,0.39%,3,97.67%,755,0.00%,0,0.39%,3,0.00%,0,No,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,
,,419602,419602,3,492,98.74213837,0.00%,0,0.00%,0,1.02%,5,0.00%,0,0.41%,2,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.61%,3,0.00%,0,0.20%,1,0.61%,3,0.00%,0,0.00%,0,0.20%,1,0.61%,3,95.73%,471,0.00%,0,0.61%,3,0.00%,0,No,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,
Braintree,0,419700,419700,1,476,97.22814499,0.21%,1,0.00%,0,0.21%,1,0.00%,0,0.21%,1,0.21%,1,0.00%,0,0.00%,0,0.00%,0,0.21%,1,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.21%,1,0.84%,4,95.80%,456,0.00%,0,2.10%,10,0.00%,0,Yes,Minority,Minority,M,"Block Group 1, Census Tract 4197, Norfolk County, Massachusetts",Block Group 1,1,2.50E+11,419700,,,M,Braintree,N,116500,0,138.0577087,1,Polygon,31,4.68277931,101544,120.3341827,1279,36.83950617,1450435.206,5719.107143,2025,662
Braintree,0,419700,419700,2,791,98.03921569,0.25%,2,0.00%,0,1.14%,9,0.00%,0,0.13%,1,0.00%,0,0.25%,2,0.38%,3,0.13%,1,0.63%,5,0.00%,0,0.00%,0,0.63%,5,0.00%,0,0.00%,0,0.00%,0,0.00%,0,94.82%,750,0.00%,0,1.52%,12,0.13%,1,Yes,Minority,Minority,M,"Block Group 2, Census Tract 4197, Norfolk County, Massachusetts",Block Group 2,2,2.50E+11,419700,,,M,Braintree,N,155820,0,184.6536713,1,Polygon,6,0.54694623,101544,120.3341827,1925,28.46525455,2902593.809,8150.434299,2691,1097
